"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","y"
"1",5.925,6.512,6.883,5.157,6.42,5.833,5.356,6.626,5.73,6.108,42.799
"2",4.565,3.638,4.378,5.056,3.165,4.598,4.576,4.171,4.259,4.443,30.372
"3",5.436,5.501,6.596,4.476,4.992,5.524,6.235,5.402,5.465,5.568,36.338
"4",4.912,5.849,6.545,5.715,4.668,5.259,5.786,5.07,5.499,4.64,36.63
"5",5.696,6.33,5.279,5.017,4.229,5.769,4.468,4.771,6.062,5.495,38.275
"6",4.009,4.584,4.22,6.463,5.511,4.917,5.92,3.492,3.219,5.073,37.413
"7",5.864,5.675,5.275,6.006,7.409,4.989,4.605,6.399,7.065,5.274,34.744
"8",4.826,4.287,4.072,4.656,4.523,4.044,6.071,4.676,4.916,4.881,31.107
"9",5.874,6.294,6.184,5.127,6.808,6.696,6.797,5.742,7.878,5.906,42.487
"10",4.572,4.912,4.931,4.584,5.279,4.544,4.737,5.813,4.727,7.199,38.149
"11",7.099,6.581,4.832,6.531,5.925,4.276,4.523,5.992,6.372,6.309,42.413
"12",6.397,7.267,6.15,6.052,6.504,6.79,6.333,5.514,6.052,5.829,42.043
"13",3.951,4.112,3.347,4.636,3.399,4.314,5.229,4.655,3.365,3.372,30.965
"14",4.646,4.789,3.768,5.752,4.49,5.509,5.017,5.183,4.382,4.362,33.989
"15",4.243,5.008,5.47,4.684,5.577,5.157,5.547,5.726,4.776,4.493,36.298
"16",5.293,5.953,5.157,4.835,4.321,4.582,6.365,6.02,5.225,5.041,36.714
"17",4.665,4.972,4.323,4.745,4.262,5.487,4.662,3.266,4.867,4.82,36.726
"18",3.873,4.755,3.981,2.604,2.415,0.899,3.731,4.327,3.618,2.978,28.511
"19",3.689,3.785,2.993,2.598,2.737,5.456,3.194,3.103,3.211,2.974,24.804
"20",5.398,6.674,4.715,6.591,6.553,6.01,6.965,6.757,5.685,6.79,42.489
"21",5.261,4.885,4.937,4.277,5.387,4.355,5.034,5.43,4.764,3.738,32.744
"22",3.472,3.941,3.895,4.193,3.232,4.988,3.54,2.839,2.998,2.697,27.989
"23",5.686,4.887,4.575,4.195,5.389,3.841,4.413,3.827,4.701,4.799,28.728
"24",6.965,6.539,5.674,6.073,6.511,7.035,5.635,5.918,4.659,5.825,42.246
"25",6.309,6.821,5.753,7.05,8.141,6.306,5.171,7.214,6.966,5.755,45.649
"26",4.034,4.382,5.102,4.679,4.352,4.724,4.474,5.18,4.366,4.326,28.242
"27",5.114,4.505,4.188,4.735,5.357,4.79,4.231,4.039,4.137,4.902,40.247
"28",4.467,3.732,3.238,3.96,3.763,3.905,4.497,4.397,3.515,3.99,26.83
"29",4.544,4.067,6.055,5.508,4.84,4.52,6.514,5.139,5.224,6.835,31.784
"30",4.74,4.412,3.479,6.392,5.093,4.292,4.197,4.511,4.181,4.547,33.294
"31",4.195,5.976,5.41,6.543,5.615,4.816,5.339,6.16,5.62,5.152,38.488
"32",5.313,5.193,5.721,3.968,6.239,5.918,5.444,6.103,4.805,5.157,35.334
"33",4.552,5.97,5.405,5.38,5.112,6.583,5.716,6.104,5.91,5.58,37.662
"34",4.141,4.065,4.558,6.422,4.144,5.957,5.067,4.208,3.296,4.106,31.103
"35",4.979,5.64,4.859,5.032,5.415,5.625,6.035,5.437,5.081,4.467,37.754
"36",4.319,4.425,4.048,3.665,4.002,2.783,3.151,1.987,2.179,4.323,30.776
"37",3.978,5.158,4.331,5.232,3.142,4.238,4.157,4.773,5.213,4.667,36.563
"38",4.603,4.767,4.687,5.45,3.433,4.145,4.19,5.257,3.616,4.231,33.89
"39",4.207,2.688,3.824,3.909,4.19,2.843,2.143,2.617,2.457,3.052,28.707
"40",6.441,4.616,5.143,4.381,6.063,3.108,4.852,4.562,4.472,5.344,36.984
"41",3.894,6.383,4.516,5.626,5.92,5.337,6.473,5.47,4.078,6.034,37.714
"42",3.852,5.507,5.032,4.465,5.043,4.232,4.382,5.287,4.274,4.962,31.878
"43",5.256,6.676,4.329,5.961,5.732,5.434,4.631,6.161,6.274,6.803,35.437
"44",3.743,5.019,4.752,3.11,4.672,3.544,5.106,4.8,4.869,4.065,33.441
"45",4.928,2.849,4.231,3.363,4.752,3.533,2.731,3.764,3.298,4.342,30.334
"46",5.78,4.765,5.129,5.741,5.298,5.323,4.726,4.86,5.535,5.947,33.009
"47",4.314,4.424,3.807,4.036,4.017,4.305,4.017,3.958,4.811,6.202,28.187
"48",6.957,5.976,5.995,7.23,4.99,6.847,6.38,5.748,4.687,6.17,41.406
"49",6.692,4.43,4.44,5.289,4.252,4.571,4.998,5.408,5.427,5.05,38.046
"50",5.724,5.087,5.695,5.265,5.734,4.481,6.081,5.685,5.58,6.065,37.986
"51",6.823,5.047,4.292,6.23,5.734,4.939,4.492,5.174,5.491,3.704,38.108
"52",3.745,4.892,4.918,4.547,4.514,3.413,3.743,4.592,5.252,3.193,31.46
"53",4.746,5.825,7.167,6.473,6.587,6.546,6.205,5.13,6.299,6.967,38.987
"54",6.037,4.969,6.252,6.664,5.354,5.054,6.437,6.312,5.16,6.115,37.678
"55",4.388,3.496,4.123,5.39,5.196,4.208,6.037,6.103,4.273,5.063,33.703
"56",5.413,4.543,4.666,4.145,5.934,5.499,4.514,5.875,5.165,5.69,33.241
"57",6.613,6.127,5.862,5.78,5.135,5.367,4.596,5.195,4.844,5.341,39.982
"58",3.988,4.459,5.274,4.018,4.354,3.967,4.616,7.038,4.421,4.693,31.343
"59",2.633,1.684,2.951,2.376,2.862,4.123,1.775,3.644,2.975,3.301,22.905
"60",6.159,4.311,6.033,4.214,4.204,4.585,5.367,4.958,5.33,4.554,37.47
"61",4.395,3.154,4.462,5.584,3.819,5.484,4.855,4.098,5.131,4.952,33.41
"62",4.324,5.705,5.581,4.53,5.811,5.25,5.745,5.64,5.485,4.227,35.841
"63",5.439,4.964,5.255,4.468,5.174,6.158,6.334,5.718,4.776,5.992,32.82
"64",5.607,5.594,6.62,6.139,6.639,6.058,6.021,5.692,5.431,5.272,42.039
"65",4.652,4.565,5.527,3.889,3.137,3.883,5.204,4.242,5.435,3.386,32.108
"66",6.705,6.887,6.774,5.296,6.467,5.718,5.395,5.53,6.772,5.256,39.598
"67",4.99,6.255,5.364,4.211,5.331,6.013,5.707,6.916,4.729,4.606,38.661
"68",6.433,6.102,6.413,4.73,6.697,6.435,5.905,4.872,5.26,5.722,42.566
"69",5.701,4.349,4.751,5.549,4.693,5.966,5.246,5.075,6.836,6.065,33.31
"70",6.151,4.514,5.838,5.225,5.885,5.838,5.202,5.384,5.514,4.915,44.318
"71",4.244,3.764,4.678,3.413,4.614,4.357,5.34,3.521,4.776,4.223,22.865
"72",4.359,5.095,3.534,5.639,5.403,4.324,5.705,5.271,4.291,5.328,35.646
"73",5.013,5.596,6.392,5.288,5.292,4.537,4.726,5.502,5.19,4.817,36.379
"74",4.661,5.272,3.839,4.76,4.781,5.288,2.41,4.435,4.617,3.461,33.794
"75",4.922,4.319,3.692,5.28,4.213,3.88,4.915,4.709,7.325,3.661,29.804
"76",5.287,5.522,4.808,4.927,5.848,6.366,4.632,4.884,6.101,4.582,35.778
"77",7.566,4.662,4.312,5.608,5.088,6.236,4.966,5.963,5.604,6.734,35.703
"78",6.056,6.324,4.926,5.333,4.648,6.9,5.403,4.85,5.124,4.622,38.531
"79",4.896,4.748,3.977,3.319,4.153,2.94,3.962,4.809,4.041,4.976,32.235
"80",3.884,4.091,4.374,4.224,5.247,4.238,4.841,3.753,2.592,4.536,33.646
"81",4.866,5.508,6.616,5.259,5.497,6.288,6.209,7.007,5.791,6.214,38.745
"82",5.487,4.64,5.483,5.264,4.007,4.651,4.858,6.325,5.323,6.513,34.666
"83",4.54,5.068,4.529,6.345,5.461,5.978,5.153,5.145,4.533,4.111,35.702
"84",4.105,4.103,4.265,5.527,5.401,5.177,4.597,3.743,5.062,4.996,38.06
"85",3.789,4.071,3.974,3.577,3.399,4.119,4.923,3.86,3.651,4.229,30.938
"86",3.756,6.585,4.682,5.306,5.486,6.315,5.52,6.246,6.273,5.54,35.667
"87",5.183,4.532,6.362,5.176,4.931,5.29,4.657,3.805,4.778,5.935,39.935
"88",5.206,5.048,4.255,4.047,4.386,5.849,4.399,6.866,5.409,4.449,34.07
"89",5.665,6.519,4.298,5.2,6.999,6.409,5.474,4.716,5.722,5.532,38.433
"90",6.678,5.315,5.005,5.287,5.295,5.628,4.733,5.982,5.252,4.889,35.029
"91",4.81,6.073,7.222,6.078,5.745,7.012,5.49,5.17,6.479,6.129,40.794
"92",3.92,5.698,4.369,5.325,4.873,4.893,3.765,4.838,4.575,5.033,35.478
"93",4.471,5.158,4.267,5.975,4.922,6.475,6.663,5.931,5.62,6.122,33.192
"94",5.482,6.667,6.815,6.369,4.828,6.288,6.281,6.17,7.647,6.868,37.665
"95",3.92,3.13,3.878,3.609,4.445,4.986,3.109,3.733,4.547,4.544,25.658
"96",4.697,4.611,4.851,5.552,3.506,3.608,4.46,3.683,5.86,4.489,31.033
"97",3.842,4.212,4.545,4.567,3.518,3.869,4.312,3.999,4.426,5.439,33.361
"98",3.589,3.58,4.112,3.762,3.961,4.613,2.757,3.972,4.351,4.995,30.175
"99",5.258,6.209,5.498,6.17,4.987,5.519,4.618,4.194,4.563,5.096,35.804
"100",4.675,4.493,4.76,4.6,6.695,5.081,6.426,4.897,6.221,5.866,31.269
"101",6.012,5.822,5.499,5.889,6.07,6.988,5.184,7.125,5.817,5.119,32.331
"102",5.446,5.517,5.071,5.689,5.351,5.866,5.936,6.194,6.234,4.839,34.733
"103",3.695,3.698,4.478,3.877,3.68,5.388,3.823,4.359,4.086,4.675,30.624
"104",6.016,7.124,5.946,6.534,5.839,6.199,6.271,6.535,6.869,5.729,38.472
"105",5.718,4.783,3.213,4.317,4.584,4.926,4.084,3.664,4.745,5.493,33.378
"106",4.222,5.708,5.076,5.606,5.39,5.074,4.333,4.587,5.102,4.258,40.335
"107",5.949,3.721,3.61,5.187,4.736,4.542,4.178,3.653,5.87,4.889,27.795
"108",5.213,3.589,4.781,5.249,5.761,4.697,4.75,4.688,3.714,6.475,34.293
"109",6.336,5.816,4.843,5.398,5.722,4.289,5.261,4.286,4.87,4.331,35.676
"110",4.155,5.507,6.625,3.471,6.254,6.037,3.92,5.85,4.55,4.068,38.407
"111",5.437,5.011,5.472,5.229,4.111,4.165,5.326,4.547,5.109,5.272,35.273
"112",5.302,6.965,6.261,5.418,4.622,5.139,5.833,4.017,5.541,4.044,39.455
"113",4.894,5.164,4.203,4.172,4.126,4.912,4.749,4.568,5.118,4.385,33
"114",5.226,4.435,3.724,4.324,4.449,3.495,3.961,5.235,4.494,4.359,32.735
"115",4.481,3.64,3.626,6.412,2.92,3.319,3.302,4.286,2.377,3.504,31.902
"116",4.697,4.664,5.993,3.848,4.564,4.966,4.577,4.929,3.922,5.632,31.335
"117",5.114,5.352,4.098,4.494,4.63,4.39,5.188,4.428,4.227,4.36,36.891
"118",7.6,7.336,6.756,7.301,7.569,6.235,7.105,6.069,6.285,8.237,50.385
"119",2.784,4.376,3.671,4.291,4.137,3.937,3.579,3.498,3.601,4.333,28.882
"120",4.928,5.305,5.586,4.889,5.41,4.868,4.847,6.212,5.26,5.436,35.663
"121",4.167,2.354,5.227,4.779,4.683,4.09,3.827,4.732,3.945,3.649,26.608
"122",2.397,4.135,5.038,3.958,3.181,4.147,5.229,3.494,3.857,3.63,29.122
"123",5.297,3.668,5.51,4.947,6.461,4.387,4.13,5.529,5.865,4.868,30.249
"124",5.432,4.904,4.638,4.305,3.901,4.188,3.598,4.707,3.725,3.885,32.672
"125",4.93,5.29,5.008,5.009,5.582,5.14,4.879,4.632,4.582,4.915,32.096
"126",6.48,4.243,3.527,5.184,4.005,4.922,5.911,5.21,5.057,4.458,31.425
"127",4.067,4.107,5.156,5.026,5.249,3.808,5.286,3.723,5.301,4.82,33.197
"128",4.318,2.424,2.425,2.635,3.296,3.8,3.035,3.21,3.803,3.685,26.412
"129",4.671,4.647,3.489,3.721,4.622,3.168,3.817,4.434,3.71,4.725,34.656
"130",5.239,4.686,5.221,4.204,4.543,5.85,5.525,4.45,5.713,5.876,32.827
"131",5.289,5.863,6.261,4.787,4.052,5.48,5.682,4.876,5.431,5.481,35.721
"132",4.843,5.771,5.855,3.418,4.886,3.186,4.201,5.499,4.321,4.489,34.196
"133",4.375,6.376,5.391,5.116,5.223,3.944,4.766,6.488,3.704,5.108,35.251
"134",5.489,6.111,6.265,6.451,3.548,5.685,5.574,6.134,5.284,6.571,37.096
"135",6.151,5.424,6.851,7.682,5.989,5.858,5.236,5.396,5.626,6.47,43.88
"136",3.527,4.63,4.423,4.464,6.032,5.492,4.147,4.455,3.694,3.197,37.468
"137",4.101,5.26,7.229,5.659,4.31,3.731,4.501,4.966,5.984,5.025,40.482
"138",5.637,6.076,5.851,5.979,6.197,5.541,5.239,6.261,5.168,6.503,39.454
"139",3.918,3.759,4.975,3.162,5.125,5.004,5.46,3.623,4.078,4.512,32.402
"140",5.354,5.849,4.909,4.934,5.635,4.635,4.578,4.517,4.362,4.519,35.222
"141",6.491,5.279,5.02,4.369,5.373,5.224,4.105,4.194,4.14,5.232,32.763
"142",4.278,3.985,5.337,2.825,4.487,4.06,5.812,3.884,4.041,4.268,32.209
"143",3.931,3.967,4.724,4.745,5.709,4.409,4.066,4.596,5.114,5.18,33.995
